doy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
35,,0.629,0.273,0.726,0.629,0.502,0.786,0.449,0.769,0.84,0.823,0.636,1,0.575,0.806,0.77,0.354,0.702,0.626,0.876,0.526,0.695,0.299
36,,0.65,0.497,0.672,0.607,0.48,0.837,0.431,0.816,0.837,0.889,0.621,0.997,0.576,0.801,0.837,0.315,0.74,0.669,0.811,0.498,0.644,0.299
37,,0.625,0.658,0.634,0.589,0.468,0.772,0.452,0.738,0.829,0.936,0.55,0.999,0.604,0.795,0.859,0.416,0.728,0.674,0.794,0.494,0.654,0.317
38,,0.62,0.714,0.598,0.611,0.538,0.797,0.449,0.635,0.821,0.938,0.536,0.996,0.571,0.79,0.873,0.557,0.766,0.685,0.789,0.489,0.652,0.316
39,,0.623,0.736,0.577,0.564,0.453,0.763,0.447,0.614,0.821,0.883,0.563,0.992,0.568,0.773,0.909,0.614,0.75,0.689,0.734,0.495,0.641,0.315
40,,0.618,0.683,0.618,0.575,0.485,0.717,0.451,0.674,0.795,0.919,0.519,0.979,0.54,0.736,0.855,0.63,0.729,0.656,0.733,0.485,0.596,0.281
41,,0.595,0.65,0.598,0.536,0.431,0.74,0.448,0.575,0.809,0.911,0.565,0.987,0.565,0.796,0.791,0.647,0.673,0.655,0.696,0.487,0.636,0.286
42,,0.599,0.586,0.709,0.549,0.437,0.687,0.44,0.611,0.8,0.89,0.499,0.988,0.74,0.827,0.763,0.607,0.667,0.653,0.664,0.467,0.621,0.284
43,,0.591,0.548,0.664,0.544,0.435,0.764,0.429,0.541,0.78,0.888,0.54,0.979,0.882,0.756,0.835,0.595,0.642,0.605,0.608,0.487,0.653,0.301
44,,0.583,0.478,0.667,0.565,0.428,0.645,0.466,0.569,0.791,0.83,0.566,0.979,0.871,0.755,0.838,0.64,0.637,0.616,0.608,0.454,0.685,0.338
45,,0.602,0.643,0.634,0.575,0.414,0.751,0.459,0.519,0.759,0.85,0.591,0.952,0.772,0.725,0.824,0.638,0.627,0.57,0.635,0.496,0.723,0.412
46,,0.563,0.74,0.556,0.522,0.405,0.743,0.467,0.539,0.773,0.819,0.621,0.939,0.73,0.742,0.832,0.633,0.594,0.593,0.548,0.473,0.604,0.559
47,,0.573,0.776,0.635,0.6,0.413,0.735,0.39,0.614,0.755,0.825,0.639,0.845,0.645,0.722,0.817,0.684,0.584,0.581,0.569,0.484,0.601,0.545
48,,0.545,0.8,0.683,0.587,0.409,0.726,0.425,0.575,0.767,0.819,0.666,0.828,0.678,0.69,0.82,0.652,0.573,0.58,0.493,0.519,0.568,0.497
49,,0.578,0.847,0.636,0.582,0.455,0.755,0.432,0.571,0.784,0.791,0.704,0.769,0.663,0.678,0.799,0.636,0.516,0.538,0.505,0.459,0.576,0.399
50,,0.533,0.816,0.615,0.772,0.48,0.784,0.441,0.513,0.761,0.79,0.665,0.774,0.633,0.674,0.761,,0.564,0.578,0.459,0.485,0.578,0.357
51,,0.539,0.771,0.621,0.854,0.636,0.778,0.388,0.55,0.772,0.784,0.681,0.734,0.619,0.641,0.741,,0.492,0.618,0.472,0.435,0.543,0.333
52,,0.575,0.695,0.554,0.893,0.663,0.805,0.395,0.501,0.739,0.77,0.614,0.657,0.756,0.61,0.762,,0.496,0.58,0.431,0.465,0.58,0.334
53,,0.518,0.66,0.673,0.93,0.668,0.822,0.407,0.524,0.75,0.763,0.596,0.635,0.888,0.634,0.77,,0.471,0.634,0.436,0.435,0.552,0.33
54,,0.52,0.632,0.581,0.948,0.744,0.816,0.413,0.471,0.714,0.751,0.578,0.568,0.911,0.609,0.768,,0.484,0.691,0.508,0.436,0.541,0.292
55,,0.541,0.616,0.545,0.969,0.712,0.825,0.425,0.48,0.735,0.757,0.584,0.524,0.935,0.601,0.754,,0.489,0.704,0.415,0.411,0.501,0.289
56,,0.646,0.596,0.515,0.948,0.788,0.817,0.424,0.548,0.733,0.716,0.565,0.43,0.957,0.621,0.763,,0.448,0.79,0.438,0.449,0.518,0.274
57,,0.633,0.604,0.527,0.933,0.696,0.82,0.455,0.5,0.722,0.712,0.58,0.443,0.956,0.673,0.726,,0.475,0.833,0.406,0.462,0.475,0.278
