doy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
35,,0.67,0.376,0.809,0.706,0.721,0.823,0.567,0.685,0.88,0.857,0.671,0.924,0.699,0.8,0.834,0.556,0.701,0.725,0.816,0.573,0.717,0.544
36,,0.657,0.45,0.81,0.671,0.714,0.837,0.536,0.696,0.838,0.877,0.641,0.916,0.711,0.777,0.893,0.518,0.73,0.737,0.789,0.585,0.675,0.542
37,,0.657,0.515,0.801,0.671,0.712,0.81,0.567,0.673,0.835,0.883,0.592,0.92,0.747,0.745,0.906,0.513,0.729,0.739,0.777,0.586,0.669,0.547
38,,0.651,0.549,0.777,0.674,0.716,0.809,0.578,0.618,0.819,0.88,0.562,0.922,0.766,0.737,0.903,0.558,0.734,0.741,0.764,0.571,0.679,0.549
39,,0.605,0.563,0.776,0.65,0.699,0.804,0.571,0.585,0.815,0.86,0.554,0.921,0.777,0.722,0.892,0.61,0.75,0.745,0.745,0.555,0.706,0.543
40,,0.578,0.561,0.776,0.658,0.705,0.78,0.579,0.581,0.794,0.878,0.532,0.894,0.773,0.707,0.871,0.627,0.741,0.743,0.747,0.541,0.725,0.523
41,,0.562,0.534,0.779,0.642,0.685,0.78,0.56,0.561,0.806,0.883,0.558,0.906,0.812,0.736,0.846,0.649,0.759,0.754,0.724,0.541,0.744,0.525
42,,0.56,0.511,0.79,0.652,0.689,0.77,0.543,0.57,0.791,0.901,0.533,0.905,0.886,0.736,0.827,0.652,0.734,0.752,0.717,0.537,0.755,0.511
43,,0.528,0.49,0.783,0.643,0.686,0.79,0.537,0.54,0.793,0.921,0.548,0.894,0.935,0.712,0.822,0.65,0.702,0.756,0.692,0.526,0.766,0.505
44,,0.534,0.45,0.79,0.649,0.638,0.762,0.534,0.553,0.796,0.903,0.548,0.889,0.937,0.71,0.829,0.679,0.683,0.75,0.686,0.518,0.767,0.518
45,,0.527,0.52,0.766,0.658,0.651,0.786,0.521,0.52,0.773,0.905,0.557,0.864,0.909,0.704,0.823,0.679,0.677,0.751,0.686,0.516,0.76,0.562
46,,0.513,0.6,0.754,0.644,0.657,0.794,0.515,0.54,0.786,0.889,0.614,0.855,0.89,0.689,0.808,0.689,0.638,0.742,0.658,0.494,0.707,0.618
