doy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
35,,0.648,0.379,0.797,0.694,0.719,0.821,0.566,0.659,0.819,0.862,0.645,0.926,0.702,0.76,0.859,0.526,0.698,0.696,0.806,0.549,0.688,0.544
36,,0.643,0.438,0.802,0.664,0.715,0.829,0.537,0.664,0.818,0.876,0.613,0.921,0.724,0.741,0.886,0.51,0.706,0.707,0.791,0.561,0.678,0.54
37,,0.624,0.497,0.797,0.653,0.708,0.807,0.55,0.648,0.814,0.881,0.572,0.926,0.756,0.723,0.889,0.539,0.711,0.723,0.773,0.56,0.669,0.545
38,,0.604,0.53,0.776,0.652,0.712,0.807,0.553,0.606,0.807,0.879,0.541,0.928,0.765,0.718,0.89,0.58,0.715,0.728,0.763,0.554,0.685,0.548
39,,0.582,0.532,0.778,0.633,0.694,0.799,0.55,0.565,0.811,0.86,0.532,0.924,0.767,0.725,0.881,0.601,0.71,0.734,0.749,0.541,0.7,0.542
40,,0.569,0.532,0.779,0.639,0.698,0.785,0.541,0.564,0.802,0.87,0.512,0.905,0.771,0.715,0.864,0.608,0.708,0.74,0.744,0.529,0.719,0.522
41,,0.544,0.523,0.778,0.627,0.681,0.792,0.53,0.537,0.804,0.878,0.528,0.904,0.809,0.723,0.843,0.622,0.692,0.738,0.727,0.531,0.728,0.523
42,,0.529,0.484,0.787,0.626,0.685,0.766,0.525,0.546,0.795,0.903,0.509,0.901,0.88,0.724,0.818,0.626,0.673,0.739,0.704,0.525,0.731,0.517
43,,0.514,0.463,0.783,0.647,0.68,0.781,0.52,0.514,0.787,0.912,0.522,0.882,0.917,0.699,0.817,0.639,0.658,0.741,0.683,0.517,0.739,0.51
44,,0.508,0.442,0.786,0.644,0.674,0.757,0.52,0.519,0.795,0.893,0.531,0.88,0.925,0.694,0.813,0.649,0.646,0.738,0.677,0.503,0.749,0.518
45,,0.504,0.49,0.768,0.645,0.67,0.787,0.504,0.496,0.785,0.897,0.549,0.857,0.902,0.688,0.808,0.655,0.64,0.736,0.673,0.499,0.748,0.558
46,,0.484,0.55,0.754,0.633,0.662,0.786,0.49,0.503,0.779,0.886,0.567,0.845,0.883,0.673,0.795,0.659,0.612,0.736,0.641,0.47,0.7,0.609
47,,0.492,0.577,0.774,0.641,0.655,0.786,0.469,0.521,0.779,0.879,0.588,0.815,0.861,0.668,0.786,0.658,0.597,0.73,0.641,0.466,0.666,0.613
48,,0.486,0.587,0.792,0.627,0.664,0.783,0.469,0.506,0.782,0.863,0.605,0.799,0.847,0.658,0.75,0.661,0.598,0.726,0.614,0.46,0.613,0.594
49,,0.487,0.585,0.756,0.644,0.683,0.783,0.455,0.508,0.78,0.846,0.632,0.782,0.837,0.646,0.724,0.65,0.577,0.72,0.615,0.438,0.592,0.556
50,,0.5,0.596,0.742,0.685,0.695,0.782,0.452,0.481,0.774,0.837,0.626,0.773,0.822,0.627,0.703,,0.575,0.717,0.593,0.443,0.558,0.528
51,,0.513,0.593,0.741,0.732,0.738,0.772,0.434,0.506,0.782,0.829,0.636,0.764,0.817,0.602,0.688,,0.539,0.713,0.591,0.435,0.541,0.498
52,,0.546,0.57,0.718,0.75,0.77,0.76,0.427,0.473,0.772,0.821,0.642,0.74,0.83,0.593,0.711,,0.519,0.709,0.576,0.422,0.529,0.494
53,,0.563,0.554,0.738,0.787,0.785,0.774,0.435,0.468,0.77,0.805,0.632,0.721,0.858,0.589,0.721,,0.484,0.714,0.564,0.416,0.506,0.489
54,,0.577,0.531,0.708,0.822,0.806,0.782,0.435,0.454,0.762,0.789,0.626,0.688,0.87,0.584,0.708,,0.473,0.732,0.566,0.424,0.491,0.468
55,,0.6,0.526,0.705,0.836,0.811,0.788,0.445,0.433,0.76,0.773,0.6,0.658,0.88,0.569,0.691,,0.489,0.742,0.541,0.44,0.467,0.463
56,,0.645,0.511,0.681,0.842,0.821,0.785,0.445,0.442,0.758,0.753,0.581,0.623,0.878,0.569,0.673,,0.475,0.755,0.541,0.473,0.453,0.457
57,,0.651,0.508,0.682,0.84,0.807,0.787,0.448,0.426,0.75,0.722,0.568,0.598,0.869,0.581,0.652,,0.476,0.781,0.521,0.535,0.45,0.459
58,,0.667,0.562,0.669,0.833,0.81,0.788,0.423,0.432,0.741,0.696,0.572,0.567,0.857,0.587,0.646,,0.461,0.802,0.51,0.553,0.451,0.446
59,,0.711,0.555,0.654,0.83,0.822,0.785,0.425,0.413,0.728,0.665,0.571,0.533,0.841,0.59,0.629,0.498,0.496,0.803,0.483,0.557,0.448,0.441
60,,0.736,0.544,0.652,0.828,0.823,0.78,0.417,0.411,0.729,0.634,0.56,0.513,0.819,0.6,0.619,0.508,0.502,0.815,0.49,0.552,0.434,0.432
61,,0.709,0.536,0.627,0.825,0.809,0.785,0.41,0.448,0.741,0.646,0.552,0.487,0.794,0.592,0.606,0.525,0.492,0.819,0.485,0.542,0.438,0.433
62,,0.694,0.519,0.603,0.802,0.856,0.784,0.404,0.476,0.736,0.651,0.551,0.472,0.784,0.597,0.586,0.548,0.483,0.805,0.481,0.563,0.437,0.425
63,,0.667,0.515,0.568,0.794,0.881,0.784,0.393,0.486,0.733,0.663,0.542,0.457,0.756,0.599,0.574,0.58,0.479,0.803,0.486,0.583,0.445,0.422
64,,0.641,0.504,0.568,0.775,0.856,0.773,0.404,0.501,0.733,0.659,0.516,0.476,0.754,0.579,0.56,0.663,0.492,0.792,0.475,0.572,0.454,0.43
65,,0.618,0.484,0.546,0.778,0.832,0.767,0.404,0.522,0.716,0.662,0.493,0.503,0.736,0.572,0.558,0.691,0.491,0.773,0.456,0.566,0.468,0.422
66,,0.574,0.46,0.532,0.772,0.799,0.767,0.406,0.523,0.708,0.688,0.494,0.515,0.707,0.541,0.548,0.703,0.482,0.731,0.469,0.567,0.424,0.422
67,,0.543,0.427,0.52,0.767,0.787,0.775,0.408,0.528,0.694,0.71,0.467,0.518,0.671,0.533,0.545,0.693,0.475,0.703,0.468,0.544,0.414,0.404
68,,0.528,0.421,0.502,0.763,0.761,0.778,0.401,0.531,0.69,0.742,0.472,0.506,0.652,0.496,0.537,0.699,0.465,0.68,0.453,0.529,0.412,0.399
69,,0.515,0.394,0.488,0.745,0.748,0.768,0.407,0.51,0.664,0.757,0.445,0.501,0.599,0.504,0.516,0.686,0.447,0.632,0.451,0.513,0.412,0.394
70,,0.497,0.389,0.47,0.745,0.748,0.772,0.411,0.493,0.652,0.761,0.442,0.47,0.61,0.483,0.515,0.646,0.448,0.606,0.444,0.483,0.414,0.394
71,,0.447,0.384,0.466,0.742,0.723,0.765,0.385,0.494,0.649,0.755,0.433,0.459,0.609,0.469,0.496,0.638,0.426,0.584,0.45,0.45,0.399,0.395
72,,0.451,0.361,0.464,0.735,0.709,0.764,0.345,0.463,0.628,0.735,0.432,0.437,0.613,0.459,0.498,0.617,0.417,0.57,0.441,0.44,0.396,0.394
73,,0.446,0.377,0.464,0.726,0.687,0.758,0.347,0.434,0.61,0.682,0.426,0.423,0.624,0.443,0.495,0.612,0.415,0.516,0.441,0.433,0.434,0.398
74,,0.432,0.363,0.48,0.709,0.68,0.743,0.315,0.417,0.608,0.666,0.417,0.408,0.62,0.437,0.498,0.597,0.394,0.51,0.434,0.413,0.463,0.404
75,,0.422,0.362,0.475,0.693,0.604,0.735,0.327,0.396,0.59,0.64,0.42,0.393,0.622,0.426,0.492,0.595,0.382,0.53,0.429,0.408,0.473,0.37
76,,0.419,0.337,0.463,0.656,0.576,0.72,0.319,0.401,0.618,0.626,0.421,0.375,0.671,0.409,0.488,0.6,0.349,0.579,0.427,0.391,0.476,0.36
77,,0.406,0.333,0.437,0.551,0.53,0.718,0.316,0.415,0.591,0.609,0.425,0.387,0.732,0.399,0.486,0.593,0.353,0.591,0.445,0.388,0.502,0.353
78,,0.391,0.282,0.437,0.503,0.519,0.709,0.375,0.434,0.6,0.577,0.423,0.402,0.747,0.392,0.447,0.544,0.341,0.597,0.443,0.351,0.571,0.345
79,,0.387,,0.393,0.518,0.508,0.704,0.506,0.44,0.59,0.555,0.421,0.411,0.717,0.383,0.451,0.512,0.331,0.594,0.441,0.353,0.575,0.333
80,,0.371,,0.403,0.483,0.469,0.692,0.561,0.444,0.593,0.523,0.409,0.431,0.677,0.391,0.442,0.503,0.328,0.597,0.415,0.343,0.554,0.341
81,,0.321,,0.391,0.47,0.443,0.675,0.568,0.489,0.585,0.468,0.397,0.4,0.639,0.411,0.437,0.484,0.316,0.588,0.403,0.346,0.547,0.321
82,,0.314,,0.378,0.465,0.406,0.666,0.568,0.536,0.582,0.438,0.389,0.373,0.655,0.454,0.429,0.481,0.319,0.572,0.363,0.351,0.532,
83,,0.31,,0.369,0.51,0.389,0.646,0.588,0.559,0.587,0.418,0.356,0.357,0.669,0.481,0.419,0.461,0.32,0.545,0.364,0.351,0.519,
84,,0.287,,0.347,0.56,0.39,0.607,0.576,0.573,0.581,0.405,0.362,0.352,0.673,0.486,0.415,0.455,0.321,0.532,0.362,0.359,0.505,
85,,0.348,,0.378,0.576,0.383,0.531,0.547,0.575,0.577,0.408,0.344,0.354,0.663,0.481,0.413,0.45,0.318,0.531,0.373,0.353,0.475,
86,,0.376,,0.342,0.585,0.333,0.508,0.506,0.56,0.564,0.409,0.342,0.323,0.654,0.471,0.41,0.429,0.303,0.526,0.37,0.365,0.46,
87,,0.385,0.374,0.347,0.594,0.332,0.492,0.467,0.543,0.555,0.418,0.334,0.333,0.664,0.45,0.401,0.426,0.284,0.499,0.351,0.36,0.424,
88,,0.39,0.382,0.332,0.595,0.325,0.489,0.433,0.511,0.543,0.418,0.322,0.298,0.639,0.416,0.408,0.413,0.268,0.487,0.357,0.356,0.402,
89,,0.396,0.35,0.322,0.556,0.317,0.471,0.421,0.471,0.532,0.409,0.319,0.312,0.645,0.393,0.422,0.407,0.271,0.473,0.332,0.372,0.357,
90,,0.398,0.336,0.327,0.535,0.314,0.463,0.41,0.455,0.516,0.43,0.309,0.31,0.641,0.392,0.42,0.375,0.257,0.446,0.34,0.394,0.35,
91,,0.373,0.325,0.311,0.485,0.31,0.453,0.396,0.443,0.494,0.451,0.304,0.3,0.636,0.372,0.438,0.365,0.26,0.463,0.335,0.407,0.347,
92,,0.362,0.291,0.347,0.462,0.313,0.452,0.377,0.433,0.469,0.463,0.277,0.305,0.615,0.364,0.451,0.293,0.255,0.46,0.375,0.39,0.334,
93,,0.362,0.298,0.401,0.437,0.288,0.459,0.373,0.434,0.46,0.461,0.288,0.297,0.57,0.346,0.468,0.289,0.257,0.454,0.399,0.37,0.349,
94,,0.356,0.292,0.436,0.431,0.282,0.436,0.364,0.421,0.456,0.453,0.281,0.297,0.528,0.34,0.468,0.277,0.252,0.441,0.413,0.337,0.358,
95,,0.365,0.28,0.43,0.423,0.289,0.469,0.358,0.417,0.439,0.44,0.278,0.298,0.524,0.325,0.464,0.262,0.249,0.426,0.416,0.33,0.381,
96,,0.35,0.285,0.426,0.408,0.278,0.485,0.357,0.392,0.425,0.414,0.272,0.308,0.511,0.315,0.457,0.271,0.25,0.423,0.396,0.317,0.395,
97,,0.337,0.28,0.456,0.41,0.295,0.494,0.319,0.395,0.407,0.397,0.25,0.308,0.464,0.306,0.451,0.273,0.23,0.389,0.389,0.308,0.41,
98,,0.322,0.282,0.451,0.4,0.315,0.432,0.32,0.394,0.423,0.368,0.246,0.331,0.471,0.299,0.43,0.275,0.236,0.388,0.401,0.313,0.411,
99,,0.313,0.28,0.452,0.401,0.322,0.438,0.301,0.403,0.421,0.367,0.217,0.329,0.458,0.306,0.398,0.272,0.209,0.385,0.389,0.286,0.413,
100,,0.324,0.273,0.457,0.394,0.318,0.44,0.297,0.397,0.392,0.364,0.229,0.339,0.441,0.287,0.379,0.274,0.218,0.381,0.382,0.296,0.397,
101,,0.313,0.273,0.45,0.41,0.306,0.445,0.285,0.386,0.376,0.359,0.208,0.354,0.43,0.29,0.359,0.268,0.211,0.38,0.353,0.266,0.39,
102,,0.305,0.233,0.416,0.405,0.329,0.437,0.265,0.389,0.371,0.359,0.224,0.382,0.419,0.298,0.348,0.26,0.208,0.369,0.328,0.279,0.412,
103,,0.345,0.252,0.391,0.391,0.337,0.421,0.263,0.38,0.368,0.348,0.236,0.388,0.412,0.299,0.317,0.257,0.209,0.372,0.313,0.262,0.425,
