doy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
35,,0.465,0.357,0.745,0.573,0.574,0.64,0.493,0.638,0.66,0.766,0.407,0.98,0.586,0.703,0.864,0.511,0.545,0.551,0.725,0.479,0.54,0.423
36,,0.439,0.442,0.768,0.559,0.566,0.63,0.428,0.683,0.661,0.773,0.408,0.964,0.568,0.713,0.878,0.481,0.562,0.558,0.7,0.496,0.527,0.414
37,,0.458,0.468,0.779,0.539,0.557,0.6,0.491,0.643,0.649,0.777,0.392,0.953,0.639,0.708,0.901,0.459,0.557,0.546,0.673,0.481,0.51,0.416
38,,0.456,0.499,0.745,0.536,0.552,0.585,0.512,0.575,0.652,0.757,0.391,0.925,0.708,0.688,0.909,0.48,0.549,0.546,0.669,0.464,0.52,0.405
39,,0.457,0.477,0.725,0.513,0.531,0.585,0.504,0.529,0.707,0.746,0.405,0.928,0.696,0.684,0.864,0.494,0.547,0.539,0.649,0.463,0.507,0.402
40,,0.496,0.463,0.712,0.49,0.527,0.571,0.514,0.525,0.685,0.781,0.378,0.889,0.671,0.608,0.832,0.505,0.554,0.541,0.64,0.431,0.555,0.379
41,,0.465,0.443,0.706,0.499,0.514,0.553,0.491,0.493,0.655,0.801,0.39,0.879,0.835,0.63,0.8,0.509,0.559,0.549,0.627,0.431,0.58,0.382
42,,0.453,0.437,0.689,0.502,0.534,0.54,0.509,0.498,0.642,0.861,0.373,0.881,0.912,0.622,0.765,0.504,0.527,0.551,0.618,0.422,0.609,0.384
43,,0.429,0.425,0.679,0.497,0.546,0.539,0.496,0.476,0.664,0.905,0.384,0.822,0.946,0.579,0.728,0.516,0.507,0.564,0.577,0.412,0.642,0.391
44,,0.43,0.39,0.655,0.496,0.549,0.51,0.476,0.48,0.68,0.874,0.377,0.798,0.93,0.602,0.74,0.526,0.503,0.548,0.576,0.414,0.681,0.408
45,,0.424,0.486,0.646,0.485,0.61,0.517,0.475,0.467,0.645,0.865,0.387,0.737,0.91,0.6,0.737,0.56,0.484,0.591,0.561,0.415,0.688,0.463
46,,0.409,0.533,0.637,0.504,0.609,0.551,0.459,0.472,0.627,0.846,0.399,0.73,0.877,0.579,0.734,0.533,0.472,0.545,0.536,0.41,0.612,0.475
47,,0.415,0.579,0.684,0.492,0.624,0.563,0.458,0.489,0.628,0.854,0.4,0.679,0.839,0.573,0.711,0.522,0.467,0.528,0.523,0.41,0.548,0.465
48,,0.412,0.575,0.771,0.481,0.631,0.531,0.452,0.467,0.62,0.806,0.411,0.657,0.819,0.578,0.668,0.514,0.436,0.529,0.511,0.412,0.457,0.445
49,,0.412,0.577,0.647,0.517,0.633,0.558,0.458,0.47,0.609,0.733,0.416,0.634,0.811,0.556,0.63,0.517,0.435,0.498,0.518,0.403,0.461,0.429
50,,0.417,0.555,0.608,0.55,0.663,0.55,0.434,0.445,0.604,0.737,0.418,0.597,0.783,0.549,0.608,,0.433,0.491,0.49,0.406,0.434,0.41
51,,0.405,0.595,0.606,0.613,0.672,0.554,0.447,0.449,0.611,0.709,0.444,0.556,0.772,0.51,0.579,,0.405,0.464,0.505,0.414,0.433,0.409
52,,0.404,0.606,0.589,0.586,0.668,0.534,0.419,0.443,0.592,0.685,0.443,0.545,0.741,0.515,0.636,,0.403,0.462,0.508,0.378,0.428,0.437
53,,0.387,0.561,0.596,0.61,0.657,0.53,0.41,0.451,0.59,0.68,0.425,0.543,0.744,0.509,0.697,,0.396,0.468,0.481,0.376,0.426,0.45
54,,0.393,0.551,0.571,0.62,0.658,0.524,0.399,0.455,0.588,0.664,0.438,0.53,0.771,0.504,0.642,,0.398,0.481,0.483,0.383,0.402,0.414
55,,0.43,0.499,0.578,0.655,0.638,0.531,0.463,0.416,0.574,0.626,0.438,0.519,0.813,0.492,0.609,,0.381,0.499,0.453,0.379,0.39,0.4
56,,0.513,0.522,0.568,0.597,0.639,0.526,0.465,0.421,0.598,0.637,0.437,0.492,0.764,0.521,0.599,,0.383,0.48,0.449,0.428,0.399,0.375
57,,0.525,0.528,0.562,0.599,0.612,0.535,0.484,0.402,0.58,0.603,0.446,0.462,0.753,0.555,0.578,,0.379,0.514,0.426,0.57,0.396,0.367
58,,0.508,0.556,0.553,0.548,0.615,0.517,0.465,0.392,0.563,0.575,0.461,0.459,0.708,0.559,0.598,,0.366,0.551,0.434,0.609,0.415,0.355
59,,0.545,0.55,0.545,0.528,0.672,0.535,0.455,0.402,0.543,0.55,0.462,0.455,0.691,0.569,0.543,0.409,0.389,0.595,0.419,0.648,0.397,0.359
60,,0.529,0.535,0.529,0.511,0.647,0.54,0.456,0.393,0.552,0.547,0.467,0.456,0.674,0.585,0.542,0.407,0.414,0.625,0.423,0.606,0.373,0.375
61,,0.52,0.536,0.518,0.52,0.611,0.557,0.441,0.396,0.591,0.521,0.475,0.405,0.658,0.564,0.538,0.415,0.424,0.63,0.414,0.551,0.374,0.36
62,,0.496,0.509,0.504,0.501,0.756,0.558,0.425,0.38,0.587,0.525,0.481,0.416,0.639,0.603,0.512,0.465,0.453,0.648,0.394,0.573,0.372,0.355
63,,0.469,0.522,0.486,0.501,0.759,0.556,0.397,0.386,0.629,0.524,0.451,0.392,0.599,0.626,0.506,0.505,0.533,0.675,0.393,0.546,0.365,0.34
64,,0.456,0.511,0.488,0.477,0.708,0.552,0.398,0.401,0.642,0.505,0.442,0.424,0.614,0.559,0.482,0.539,0.493,0.643,0.378,0.521,0.352,0.343
65,,0.427,0.508,0.48,0.473,0.709,0.564,0.397,0.407,0.678,0.522,0.414,0.414,0.572,0.56,0.509,0.56,0.526,0.623,0.382,0.517,0.356,0.331
66,,0.399,0.46,0.452,0.467,0.684,0.556,0.391,0.41,0.672,0.588,0.423,0.412,0.543,0.509,0.486,0.578,0.503,0.558,0.394,0.473,0.353,0.335
67,,0.401,0.435,0.45,0.453,0.682,0.571,0.389,0.397,0.613,0.657,0.381,0.416,0.512,0.499,0.451,0.564,0.511,0.525,0.389,0.432,0.354,0.328
68,,0.39,0.441,0.422,0.447,0.639,0.522,0.389,0.388,0.608,0.671,0.397,0.409,0.499,0.465,0.473,0.574,0.474,0.53,0.391,0.455,0.349,0.327
69,,0.406,0.434,0.452,0.432,0.616,0.562,0.384,0.408,0.594,0.65,0.362,0.424,0.443,0.49,0.449,0.555,0.452,0.507,0.398,0.444,0.344,0.338
70,,0.41,0.418,0.431,0.449,0.595,0.624,0.402,0.42,0.559,0.653,0.388,0.385,0.443,0.482,0.464,0.548,0.443,0.5,0.406,0.441,0.352,0.338
71,,0.407,0.392,0.429,0.438,0.568,0.615,0.395,0.452,0.552,0.586,0.387,0.408,0.437,0.466,0.422,0.53,0.425,0.483,0.413,0.431,0.361,0.34
72,,0.418,0.37,0.427,0.439,0.541,0.627,0.364,0.398,0.532,0.578,0.406,0.386,0.442,0.461,0.435,0.509,0.405,0.466,0.41,0.421,0.358,0.351
73,,0.402,0.375,0.426,0.432,0.506,0.601,0.379,0.396,0.517,0.504,0.383,0.4,0.466,0.436,0.446,0.493,0.397,0.465,0.405,0.409,0.418,0.348
74,,0.413,0.368,0.453,0.425,0.495,0.562,0.355,0.384,0.493,0.497,0.383,0.379,0.441,0.43,0.445,0.48,0.379,0.467,0.43,0.391,0.436,0.381
