doy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
36,,0.856,0.484,0.964,0.756,0.984,1,0.671,0.629,0.959,0.999,0.846,0.935,0.897,0.823,0.994,0.707,0.844,0.905,0.85,0.701,0.775,0.797
37,,0.814,0.509,0.964,0.77,0.981,0.999,0.685,0.64,0.974,0.999,0.772,0.965,0.952,0.769,0.993,0.708,0.868,0.922,0.843,0.734,0.772,0.797
38,,0.787,0.511,0.954,0.769,0.974,1,0.689,0.641,0.945,0.998,0.709,0.994,0.947,0.78,0.989,0.733,0.862,0.937,0.827,0.712,0.844,0.795
39,,0.735,0.503,0.974,0.76,0.972,1,0.678,0.593,0.958,0.998,0.664,0.997,0.949,0.789,0.993,0.719,0.848,0.943,0.82,0.678,0.888,0.785
40,,0.698,0.523,0.982,0.795,0.966,0.997,0.645,0.568,0.938,0.999,0.654,0.992,0.962,0.799,0.99,0.711,0.867,0.953,0.827,0.67,0.906,0.777
41,,0.636,0.521,0.977,0.817,0.963,1,0.618,0.584,0.942,0.999,0.679,0.994,0.963,0.795,0.988,0.759,0.874,0.951,0.82,0.66,0.921,0.771
42,,0.62,0.505,0.982,0.791,0.955,0.999,0.607,0.573,0.929,1,0.68,0.994,0.973,0.774,0.976,0.776,0.874,0.955,0.821,0.67,0.922,0.745
43,,0.566,0.475,0.982,0.854,0.947,1,0.618,0.567,0.91,1,0.671,0.994,0.986,0.769,0.973,0.797,0.869,0.971,0.828,0.649,0.918,0.722
44,,0.571,0.442,0.986,0.84,0.919,1,0.618,0.577,0.921,1,0.7,0.994,0.99,0.771,0.95,0.787,0.86,0.97,0.803,0.633,0.903,0.712
45,,0.557,0.484,0.971,0.83,0.913,0.999,0.585,0.542,0.919,1,0.716,0.992,0.994,0.752,0.935,0.789,0.864,0.983,0.797,0.602,0.858,0.717
46,,0.55,0.55,0.974,0.819,0.923,0.999,0.572,0.561,0.92,1,0.717,0.993,0.994,0.726,0.92,0.808,0.816,0.98,0.783,0.581,0.83,0.724
47,,0.572,0.568,0.98,0.812,0.904,0.997,0.565,0.562,0.937,0.998,0.761,0.988,0.994,0.726,0.896,0.803,0.792,0.977,0.769,0.555,0.775,0.725
48,,0.557,0.566,0.982,0.801,0.914,0.997,0.555,0.55,0.946,0.998,0.793,0.985,0.999,0.748,0.862,0.81,0.79,0.981,0.761,0.529,0.73,0.72
49,,0.542,0.546,0.973,0.816,0.91,0.99,0.534,0.537,0.959,0.997,0.836,0.971,0.999,0.733,0.843,0.816,0.759,0.987,0.753,0.478,0.679,0.693
50,,0.639,0.607,0.969,0.818,0.92,0.985,0.524,0.532,0.944,0.996,0.801,0.954,0.999,0.699,0.814,,0.738,0.988,0.74,0.499,0.635,0.667
51,,0.682,0.619,0.956,0.878,0.946,0.978,0.503,0.56,0.95,0.994,0.825,0.95,0.999,0.659,0.803,,0.682,0.993,0.724,0.492,0.618,0.639
52,,0.718,0.601,0.957,0.899,0.992,0.951,0.49,0.518,0.956,0.988,0.839,0.941,0.995,0.663,0.771,,0.659,0.997,0.707,0.49,0.58,0.631
53,,0.749,0.592,0.948,0.936,0.995,0.976,0.487,0.503,0.957,0.987,0.837,0.931,0.997,0.656,0.781,,0.584,0.999,0.708,0.484,0.567,0.612
54,,0.776,0.566,0.946,0.975,0.997,0.981,0.488,0.467,0.956,0.979,0.844,0.916,0.997,0.638,0.752,,0.55,1,0.689,0.52,0.515,0.602
55,,0.809,0.607,0.939,0.998,0.999,0.988,0.507,0.466,0.939,0.952,0.76,0.88,0.998,0.626,0.759,,0.6,0.998,0.693,0.558,0.519,0.598
56,,0.831,0.582,0.912,1,0.999,0.99,0.512,0.452,0.926,0.919,0.697,0.845,0.994,0.579,0.732,,0.571,0.997,0.672,0.607,0.471,0.602
57,,0.835,0.573,0.918,1,0.999,0.989,0.525,0.465,0.926,0.883,0.649,0.811,0.992,0.59,0.712,,0.584,0.999,0.668,0.642,0.46,0.602
58,,0.822,0.601,0.868,1,0.999,0.993,0.488,0.434,0.902,0.837,0.653,0.757,0.993,0.582,0.7,,0.548,1,0.66,0.67,0.457,0.589
59,,0.879,0.589,0.891,1,0.998,0.993,0.505,0.422,0.898,0.798,0.624,0.719,0.989,0.561,0.694,0.573,0.612,1,0.619,0.623,0.453,0.582
60,,0.926,0.581,0.853,1,0.999,0.99,0.493,0.452,0.881,0.712,0.609,0.674,0.987,0.549,0.694,0.601,0.633,1,0.636,0.622,0.468,0.563
61,,0.86,0.576,0.858,1,0.998,0.988,0.489,0.518,0.9,0.768,0.581,0.668,0.982,0.557,0.684,0.566,0.574,1,0.625,0.603,0.445,0.568
62,,0.833,0.562,0.808,1,0.998,0.983,0.481,0.59,0.867,0.761,0.587,0.611,0.97,0.541,0.679,0.569,0.533,0.995,0.612,0.585,0.464,0.552
63,,0.777,0.561,0.729,1,0.999,0.995,0.448,0.593,0.848,0.797,0.594,0.614,0.969,0.544,0.643,0.646,0.514,0.982,0.612,0.603,0.498,0.557
64,,0.753,0.528,0.738,0.999,1,0.997,0.463,0.633,0.849,0.805,0.521,0.603,0.948,0.545,0.632,0.736,0.51,0.972,0.636,0.575,0.561,0.558
65,,0.722,0.468,0.689,0.997,0.999,0.999,0.429,0.644,0.831,0.809,0.522,0.603,0.938,0.549,0.621,0.733,0.489,0.956,0.578,0.567,0.615,0.56
66,,0.663,0.451,0.663,0.997,0.999,0.996,0.426,0.681,0.821,0.821,0.492,0.586,0.88,0.554,0.608,0.726,0.498,0.909,0.582,0.59,0.45,0.558
67,,0.613,0.415,0.63,0.999,0.997,0.994,0.458,0.659,0.793,0.805,0.498,0.568,0.81,0.546,0.621,0.73,0.509,0.87,0.576,0.623,0.448,0.528
68,,0.589,0.42,0.618,1,0.997,0.994,0.43,0.644,0.801,0.888,0.506,0.591,0.831,0.496,0.595,0.754,0.511,0.856,0.574,0.559,0.436,0.524
69,,0.56,0.377,0.585,0.998,0.991,0.993,0.444,0.576,0.788,0.915,0.466,0.589,0.8,0.489,0.609,0.75,0.522,0.798,0.574,0.569,0.497,0.506
70,,0.545,0.393,0.566,1,0.993,0.985,0.475,0.513,0.782,0.926,0.447,0.586,0.786,0.445,0.594,0.685,0.533,0.775,0.565,0.519,0.468,0.506
71,,0.495,0.37,0.587,0.999,0.993,0.985,0.408,0.525,0.767,0.929,0.414,0.564,0.794,0.465,0.578,0.691,0.471,0.725,0.586,0.478,0.462,0.505
72,,0.512,0.386,0.589,0.998,0.967,0.99,0.39,0.512,0.759,0.907,0.416,0.55,0.832,0.42,0.569,0.696,0.496,0.691,0.559,0.453,0.461,0.501
73,,0.547,0.358,0.576,0.997,0.974,0.978,0.388,0.495,0.727,0.887,0.404,0.544,0.832,0.436,0.54,0.703,0.466,0.609,0.559,0.443,0.513,0.502
74,,0.484,0.338,0.577,0.98,0.959,0.975,0.346,0.479,0.72,0.872,0.407,0.515,0.848,0.43,0.558,0.635,0.45,0.611,0.534,0.434,0.567,0.491
75,,0.455,0.377,0.576,0.956,0.893,0.972,0.358,0.461,0.713,0.801,0.415,0.52,0.852,0.427,0.538,0.694,0.428,0.616,0.523,0.41,0.527,0.474
76,,0.441,0.326,0.598,0.916,0.809,0.967,0.333,0.481,0.747,0.776,0.44,0.432,0.798,0.404,0.533,0.706,0.394,0.692,0.504,0.415,0.557,0.458
77,,0.405,0.338,0.565,0.687,0.763,0.962,0.35,0.51,0.748,0.755,0.44,0.471,0.819,0.361,0.497,0.655,0.402,0.732,0.54,0.41,0.598,0.443
78,,0.409,0.336,0.555,0.576,0.763,0.962,0.501,0.549,0.746,0.728,0.449,0.461,0.823,0.351,0.493,0.538,0.381,0.751,0.565,0.374,0.722,0.422
79,,0.408,,0.48,0.595,0.726,0.946,0.744,0.542,0.779,0.685,0.471,0.47,0.777,0.331,0.51,0.55,0.359,0.752,0.548,0.373,0.724,0.416
80,,0.401,,0.477,0.548,0.668,0.93,0.784,0.565,0.744,0.648,0.422,0.476,0.72,0.332,0.467,0.523,0.335,0.768,0.568,0.335,0.72,0.415
81,,0.342,,0.434,0.515,0.608,0.907,0.842,0.619,0.733,0.547,0.429,0.454,0.686,0.361,0.46,0.505,0.341,0.774,0.504,0.361,0.711,0.376
82,,0.333,,0.464,0.554,0.559,0.898,0.829,0.674,0.731,0.466,0.396,0.437,0.747,0.453,0.447,0.509,0.325,0.721,0.466,0.38,0.692,0.345
